version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,payload,std_dev_payload,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,68,DF,0,64,6,0,1592204076.423817,52590,1885,8,0,PA,502,0,3,0,1.002074,4,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.002074,1.002074,1.002074,1.002074,0.0,164.0,82.0,82.0,0.0,2.0,32.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204077.425494,52590,1885,8,0,PA,502,0,3,0,1.001677,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.003751,2.003751,1.001677,1.002074,0.0002807213921310594,246.0,82.0,82.0,0.0,3.0,48.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204078.428433,52590,1885,8,0,PA,502,0,3,0,1.002939,1,2.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.00669,3.00669,1.001677,1.002939,0.0006453007050980186,328.0,82.0,82.0,0.0,4.0,64.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204079.430177,52590,1885,8,0,PA,502,0,3,0,1.001744,3,3.299831645537222,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.008434,4.008434,1.001677,1.002939,0.0005802220839184482,410.0,82.0,82.0,0.0,5.0,80.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204080.431938,52590,1885,8,0,PA,502,0,3,0,1.001761,0,2.947456530637899,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,5.010195,5.010195,1.001677,1.002939,0.0005259700561819085,492.0,82.0,82.0,0.0,6.0,96.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204081.431922,52590,1885,8,0,PA,502,0,3,0,0.999984,6,3.136877428271624,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,6.010179,6.010179,0.999984,1.002939,0.0009618487926904103,574.0,82.0,82.0,0.0,7.0,112.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204082.434546,52590,1885,8,0,PA,502,0,3,0,1.002624,9,3.0230595245361753,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,7.012803,7.012803,0.999984,1.002939,0.0009454388751615129,656.0,82.0,82.0,0.0,8.0,128.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204083.437815,52590,1885,8,0,PA,502,0,3,0,1.003269,9,3.331972511340172,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,8.016072,8.016072,0.999984,1.003269,0.0010126011766026853,738.0,82.0,82.0,0.0,9.0,144.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204084.440120,52590,1885,8,0,PA,502,0,3,0,1.002305,4,3.4437443284889775,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.018377,9.018377,0.999984,1.003269,0.0009523266829775962,820.0,82.0,82.0,0.0,10.0,160.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204085.440185,52590,1885,8,0,PA,502,0,3,0,1.000065,1,3.265986323710904,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,10.018442,10.018442,0.999984,1.003269,0.0010940591899486567,902.0,82.0,82.0,0.0,11.0,176.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204086.441021,52590,1885,8,0,PA,502,0,3,0,1.000836,4,3.3226495451672298,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,11.019278,11.019278,0.999984,1.003269,0.0010815151745247372,984.0,82.0,82.0,0.0,12.0,192.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204087.443938,52590,1885,8,0,PA,502,0,3,0,1.002917,1,3.1727142484754816,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,12.022195,12.022195,0.999984,1.003269,0.0010845907865376803,1066.0,82.0,82.0,0.0,13.0,208.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204088.445000,52590,1885,8,0,PA,502,0,3,0,1.001062,2,3.191786333700926,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,13.023257,13.023257,0.999984,1.003269,0.0010611425446187708,1148.0,82.0,82.0,0.0,14.0,224.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204089.446462,52590,1885,8,0,PA,502,0,3,0,1.001462,7,3.1246301556292155,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,14.024719,14.024719,0.999984,1.003269,0.0010232517253377065,1230.0,82.0,82.0,0.0,15.0,240.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204090.451727,52590,1885,8,0,PA,502,0,3,0,1.005265,8,3.1036515689143473,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,15.029984,15.029984,0.999984,1.005265,0.0013373937056115988,1312.0,82.0,82.0,0.0,16.0,256.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204091.447792,52590,1885,8,0,PA,502,0,3,0,0.996065,4,3.138293945583952,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,16.026049,16.026049,0.996065,1.005265,0.0019672578027548904,1394.0,82.0,82.0,0.0,17.0,272.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204092.449539,52590,1885,8,0,PA,502,0,3,0,1.001747,0,3.0413812651491097,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,17.027796,17.027796,0.996065,1.005265,0.0019050075941642673,1476.0,82.0,82.0,0.0,18.0,288.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204093.451801,52590,1885,8,0,PA,502,0,3,0,1.002262,1,3.1348029634057006,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,18.030058,18.030058,0.996065,1.005265,0.0018540271236320678,1558.0,82.0,82.0,0.0,19.0,304.0,16.0,16.0,0.0,0.0
