time,time_diff,payload,std_dev_payload,Avg_psh_flag,Duration_window_flow,Min_delta_time,Max_delta_time,StDev_delta_time,label
1592203411.551634,1.002384,2,0.0,2.0,1.002384,1.002384,1.002384,0.0,-1
1592203412.552824,1.00119,2,0.0,3.0,2.003574,1.00119,1.002384,0.0008442854967367377,-1
1592203413.553206,1.0003819999999999,2,0.0,4.0,3.003956,1.0003819999999999,1.002384,0.0010071828698569756,-1
1592203414.556723,1.003517,8,0.0,5.0,4.007473,1.0003819999999999,1.003517,0.0013727511002848743,-1
1592203415.556109,0.9993860000000001,9,2.598076211353316,6.0,5.0068589999999995,0.9993860000000001,1.003517,0.0016265445582583956,-1
1592203416.5537288,0.9976200000000001,4,3.2,7.0,6.004479,0.9976200000000001,1.003517,0.002112467348860096,-1
1592203417.558381,1.004652,1,2.9297326385411577,8.0,7.009131,0.9976200000000001,1.004652,0.002428529449217013,1
1592203418.561898,1.003517,8,2.97609523657138,9.0,8.012648,0.9976200000000001,1.004652,0.0023805782610833983,1
1592203419.56248,1.0005819999999999,3,3.0822070014844885,10.0,9.01323,0.9976200000000001,1.004652,0.002251587828622281,1
1592203420.5657759,1.003296,5,2.943920288775949,11.0,10.016525999999999,0.9976200000000001,1.004652,0.002199950262064021,1
1592203421.567801,1.002025,0,2.8000000000000003,12.0,11.018550999999999,0.9976200000000001,1.004652,0.0020900742744522915,1
1592203422.567803,1.000002,8,2.9541957835039856,13.0,12.018553,0.9976200000000001,1.004652,0.002051275499352153,1
1592203423.570081,1.002278,9,3.0368111930480994,14.0,13.020831,0.9976200000000001,1.004652,0.0019744099767804698,1
1592203424.566648,0.996567,3,3.171619712013585,15.0,14.017398000000002,0.996567,1.004652,0.0023258341242716287,-1
1592203425.572277,1.005629,8,3.0871689692820445,16.0,15.023026999999999,0.996567,1.005629,0.0025111241895290834,1
1592203426.577609,1.005332,7,3.1026870075253594,17.0,16.028359,0.996567,1.005629,0.0026050669849033317,1
1592203427.570495,0.992886,3,3.0509988118647313,18.0,17.021245,0.992886,1.005629,0.0033177473488179045,1
1592203428.570577,1.000082,8,2.994805190907732,19.0,18.021327,0.992886,1.005629,0.0032304338126089285,1
1592203429.573214,1.002637,6,3.0,20.0,19.023964000000003,0.992886,1.005629,0.0031570445363786623,1
1592203430.5778449,1.004631,7,2.9285111038407483,21.0,20.028595000000003,0.992886,1.005629,0.0031638759852434164,1
1592203431.577238,0.999393,0,2.8857408061016154,22.0,21.027988,0.992886,1.005629,0.003115629340996164,1
1592203432.578072,1.000834,7,3.0222155528804637,23.0,22.028822,0.992886,1.005629,0.0030424017753693483,1
1592203433.5786312,1.000559,7,2.9848100289785457,24.0,23.029381,0.992886,1.005629,0.002976575134217893,1
1592203434.580633,1.002002,7,2.9475567402918768,25.0,24.031382999999998,0.992886,1.005629,0.0029149025610159577,1
1592203435.582698,1.002065,7,2.9107081994288304,26.0,25.033448,0.992886,1.005629,0.00285754689258695,1
1592203436.588923,1.006225,5,2.8744390757154687,27.0,26.039673,0.992886,1.006225,0.0029593156955880604,1
