time,time_diff,payload,std_dev_payload,Avg_psh_flag,Duration_window_flow,Min_delta_time,Max_delta_time,StDev_delta_time,label
1592203976.2649949,1.0012590000000001,5,0.0,2.0,1.0012590000000001,1.0012590000000001,1.0012590000000001,0.0,1
1592203977.26728,1.002285,9,0.0,3.0,2.0035439999999998,1.0012590000000001,1.002285,0.0007254915574973977,1
1592203978.268269,1.000989,4,2.0,4.0,3.0045330000000003,1.000989,1.002285,0.0006837631168760129,1
1592203979.269084,1.000815,3,2.160246899469287,5.0,4.005348000000001,1.000815,1.002285,0.0006578692879288408,1
1592203980.2713358,1.0022520000000001,2,2.2776083947860752,6.0,5.0076,1.000815,1.002285,0.0007014549165840952,1
1592203981.273957,1.002621,0,2.4166091947189146,7.0,6.010221,1.000815,1.002621,0.0007717931717759622,1
1592203982.275557,1.0016,7,2.793842435706701,8.0,7.011821,1.000815,1.002621,0.0007056327454338918,1
1592203983.2771919,1.001635,3,2.813959371941744,9.0,8.013456,1.000815,1.002621,0.0006535649492262745,1
1592203984.277941,1.0007489999999999,8,2.6663411259626932,10.0,9.014205,1.0007489999999999,1.002621,0.0006859116196712226,1
1592203985.279012,1.0010709999999998,4,2.7932900199947857,11.0,10.015276,1.0007489999999999,1.002621,0.0006662870919422715,1
1592203986.3033268,1.0243149999999999,3,2.6551836094703507,12.0,11.039591,1.0007489999999999,1.0243149999999999,0.006899674496933632,1
1592203987.283486,0.980159,6,2.568081253059188,13.0,12.01975,0.980159,1.0243149999999999,0.009437403156236005,1
1592203988.284966,1.00148,7,2.5,14.0,13.021230000000001,0.980159,1.0243149999999999,0.009035742668808308,1
1592203989.287009,1.002043,2,2.492592576310716,15.0,14.023273000000001,0.980159,1.0243149999999999,0.008681952019139324,1
1592203990.288232,1.001223,1,2.5,16.0,15.024496,0.980159,1.0243149999999999,0.008366907377679441,1
1592203991.2906358,1.002404,8,2.568181371234429,17.0,16.0269,0.980159,1.0243149999999999,0.008085497877888122,1
1592203992.2914279,1.000792,3,2.6457513110645907,18.0,17.027692000000002,0.980159,1.0243149999999999,0.007831719913839075,1
1592203993.292578,1.00115,5,2.5909077112406167,19.0,18.028842,0.980159,1.0243149999999999,0.00759872291901738,1
1592203994.295715,1.0031370000000002,5,2.521512381757826,20.0,19.031979,0.980159,1.0243149999999999,0.007393019507126202,1
1592203995.296365,1.00065,0,2.4573931641955267,21.0,20.032629,0.980159,1.0243149999999999,0.007199543899844592,1
1592203996.298343,1.001978,4,2.5860201081971503,22.0,21.034607,0.980159,1.0243149999999999,0.0070176548538396395,1
1592203997.3003962,1.002053,3,2.5242587201330613,23.0,22.03666,0.980159,1.0243149999999999,0.0068490743173314295,1
1592203998.301471,1.001075,6,2.4796693994519736,24.0,23.037735,0.980159,1.0243149999999999,0.0066927392992752405,1
1592203999.3033712,1.0019,0,2.45334538776798,25.0,24.039635,0.980159,1.0243149999999999,0.006545842238160347,1
1592204000.3057652,1.002394,3,2.548147475236776,26.0,25.042029,0.980159,1.0243149999999999,0.006409740235766189,1
1592204001.3098779,1.0041129999999998,3,2.505673562138532,27.0,26.046142,0.980159,1.0243149999999999,0.006298319990405256,1
1592204002.310679,1.000801,6,2.465141593686472,28.0,27.046943,0.980159,1.0243149999999999,0.006178852987583153,1
1592204003.310538,0.999859,3,2.448369463857542,29.0,28.046802000000003,0.980159,1.0243149999999999,0.006073746354415681,1
1592204004.3115869,1.001049,0,2.412499339113793,30.0,29.047851,0.980159,1.0243149999999999,0.0059654206023594175,1
1592204005.3139849,1.002398,4,2.482279647284853,31.0,30.050248999999997,0.980159,1.0243149999999999,0.00586325673585719,1
1592204006.316494,1.002509,8,2.440628334398064,32.0,31.052758,0.980159,1.0243149999999999,0.0057666535052370155,1
1592204007.316661,1.000167,0,2.507844093622814,33.0,32.052925,0.980159,1.0243149999999999,0.0056793655617926025,1
1592204008.319231,1.0025700000000002,1,2.5661178728772382,34.0,33.055495,0.980159,1.0243149999999999,0.005592195413401312,1
1592204009.321161,1.00193,4,2.575579316469791,35.0,34.057425,0.980159,1.0243149999999999,0.0055069780553529575,1
1592204010.321456,1.0002950000000002,7,2.537606424720352,36.0,35.05772,0.980159,1.0243149999999999,0.005430502837420021,1
1592204011.3228788,1.001423,5,2.5564643952305754,37.0,36.059143,0.980159,1.0243149999999999,0.005352494735583067,1
1592204012.323801,1.0009219999999999,7,2.5270145367875907,38.0,37.060065,0.980159,1.0243149999999999,0.0052789613685488,1
1592204013.327852,1.004051,8,2.5414029588535425,39.0,38.064116,0.980159,1.0243149999999999,0.0052220060641751135,1
1592204014.3260949,0.998243,4,2.5871245227856527,40.0,39.062359,0.980159,1.0243149999999999,0.005182268914535804,1
1592204015.3287551,1.00266,6,2.5538255585617917,41.0,40.065019,0.980159,1.0243149999999999,0.005118148468240122,1
1592204016.33083,1.002075,5,2.538577357497699,42.0,41.067094,0.980159,1.0243149999999999,0.005054254272633998,1
