version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,payload,std_dev_payload,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,68,DF,0,64,6,0,1592203511.702395,52590,1885,8,0,PA,502,0,3,0,0.998336,9,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.998336,0.998336,0.998336,0.998336,0.0,164.0,82.0,82.0,0.0,2.0,32.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203512.704169,52590,1885,8,0,PA,502,0,3,0,1.001774,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.00011,2.00011,0.998336,1.001774,0.0024310331137193503,246.0,82.0,82.0,0.0,3.0,48.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203513.705446,52590,1885,8,0,PA,502,0,3,0,1.001277,8,4.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.001387,3.001387,0.998336,1.001774,0.0018581502450914279,328.0,82.0,82.0,0.0,4.0,64.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203514.705681,52590,1885,8,0,PA,502,0,3,0,1.000235,3,4.0276819911981905,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.001622,4.001622,0.998336,1.001774,0.001521425318574658,410.0,82.0,82.0,0.0,5.0,80.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203515.707979,52590,1885,8,0,PA,502,0,3,0,1.002298,6,3.6742346141747673,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,5.00392,5.00392,0.998336,1.002298,0.001566002075349838,492.0,82.0,82.0,0.0,6.0,96.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203516.710248,52590,1885,8,0,PA,502,0,3,0,1.002269,6,3.3105890714493698,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,6.006189,6.006189,0.998336,1.002298,0.0015262462121165116,574.0,82.0,82.0,0.0,7.0,112.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203517.712375,52590,1885,8,0,PA,502,0,3,0,1.002127,3,3.0368111930480994,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,7.008316,7.008316,0.998336,1.002298,0.0014534907407112484,656.0,82.0,82.0,0.0,8.0,128.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203518.712552,52590,1885,8,0,PA,502,0,3,0,1.000177,9,2.9277002188455996,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,8.008493,8.008493,0.998336,1.002298,0.001392334518251374,738.0,82.0,82.0,0.0,9.0,144.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203519.713975,52590,1885,8,0,PA,502,0,3,0,1.001423,9,3.0413812651491097,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.009916,9.009916,0.998336,1.002298,0.0013079683461171545,820.0,82.0,82.0,0.0,10.0,160.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592203520.713856,52590,1885,8,0,PA,502,0,3,0,0.999881,4,3.0711722135745005,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,10.009797,10.009797,0.998336,1.002298,0.0012921780966002067,902.0,82.0,82.0,0.0,11.0,176.0,16.0,16.0,0.0,0.0
